Player,Team,Class,Height,Position
Kiara Jackson, UNLV (Mountain West),Jr.,5-7,G
Raven Johnson, South Carolina (SEC),So.,5-8,G
Gina Marxen, Montana (Big Sky),Sr.,5-8,G
McKenna Hofschild, Colorado St. (Mountain West),Sr.,5-2,G
Kaylah Ivey, Boston College (ACC),Jr.,5-8,G
Bailey Butler, Green Bay (Horizon),Jr.,5-7,G
Rose Nkumu, Marquette (Big East),Sr.,5-9,G
DeeDee Hagemann, Michigan St. (Big Ten),Jr.,5-8,G
Maya McDermott, UNI (MVC),Jr.,5-6,G
Endyia Rogers, Texas A&M (SEC),Sr.,5-7,G
Chloe Moore-McNeil, Indiana (Big Ten),Sr.,6-0,G
Bella Runyan, Villanova (Big East),Sr.,5-10,G
Nevaeh Tot, Oklahoma (Big 12),Sr.,5-3,G
Kaitlyn  Flanagan, Holy Cross (Patriot),So.,5-8,G
Lauren Park-Lane, Mississippi St. (SEC),Sr.,5-3,G
Molly Davis, Iowa (Big Ten),Sr.,5-7,G
Paige Bueckers, UConn (Big East),Sr.,6-0,G
Nika Muhl, UConn (Big East),Sr.,5-10,G
Ines Vieira, Utah (Pac-12),Jr.,5-6,G
Kaylynne Truong, Gonzaga (WCC),Sr.,5-8,G
Donovyn Hunter, Oregon St. (Pac-12),Fr.,6-0,G
Katie Dinnebier, Drake (MVC),Jr.,5-8,G
Helena Pueyo, Arizona (Pac-12),Sr.,6-0,G
Talana Lepolo, Stanford (Pac-12),So.,5-7,G
Kindyll Wetta, Colorado (Pac-12),Jr.,5-9,G
Sophia Wiard, Toledo (MAC),Sr.,5-7,G
Aerial Wilson, South Fla. (AAC),Sr.,5-10,G
Shaulana Wagner, Troy (Sun Belt),Jr.,5-10,G
Rachael Rose, Wofford (SoCon),Jr.,5-7,G
Te-Hina Paopao, South Carolina (SEC),Sr.,5-9,G
Astera Tuhina, Washington St. (Pac-12),So.,5-9,G
Kayleigh Truong, Gonzaga (WCC),Sr.,5-9,G
Talia von Oelhoffen, Oregon St. (Pac-12),Jr.,5-11,G
Nyla Hampton, Ball St. (MAC),Jr.,5-7,G
Destini Lombard, SFA (WAC),Sr.,5-9,G
Peyton Carter, Tennessee Tech (OVC),Sr.,5-8,G
Megan McConnell, Duquesne (Atlantic 10),Jr.,5-7,G
Niya Fields, Norfolk St. (MEAC),Jr.,5-8,G
Filipa Barros, California Baptist (WAC),So.,5-9,G
Mary Kay Naro, Boise St. (Mountain West),Sr.,5-11,G
Ny'Ceara  Pryor, Sacred Heart (NEC),So.,5-3,G
Ines Debroise, Rhode Island (Atlantic 10),So.,5-9,G
Molly Mogensen, Creighton (Big East),Sr.,5-7,G
Charisma Osborne, UCLA (Pac-12),Sr.,5-9,G
Leilani McIntosh, California (Pac-12),Sr.,5-5,G
Izabela Nicoletti-Leite, Fairfield (MAAC),Sr.,5-10,G
Grace Townsend, Richmond (Atlantic 10),Sr.,5-5,G
Jaylyn Sherrod, Colorado (Pac-12),Sr.,5-7,G
Savannah Wheeler, Middle Tenn. (CUSA),Sr.,5-6,G
Jordan Hodges, Liberty (CUSA),Jr.,5-6,G
Nae Nae Calhoun, California Baptist (WAC),Sr.,5-5,G
Molly Masciantonio, La Salle (Atlantic 10),Sr.,5-10,G
Kennady McQueen, Utah (Pac-12),Jr.,5-10,G
JaMya Mingo-Young, Auburn (SEC),Sr.,5-8,G
Jaz Shelley, Nebraska (Big Ten),Sr.,5-9,G
Anaya  James, Pacific (WCC),Jr.,5-9,G
Una Jovanovic, TCU (Big 12),Jr.,5-9,G
Sarah Andrews, Baylor (Big 12),Sr.,5-6,G
O'Mariah Gordon, Florida St. (ACC),Jr.,5-4,G
Lacy Stokes, Missouri St. (MVC),Jr.,5-4,G
Jenna Annecchiarico, Col. of Charleston (CAA),Sr.,5-6,G
Taija Sta. Maria, Fresno St. (Mountain West),Fr.,5-6,G
Jamie Loera, Eastern Wash. (Big Sky),Sr.,5-9,G
Cecelia Collins, Columbia (Ivy League),Jr.,6-0,G
Georgia Amoore, Virginia Tech (ACC),Sr.,5-6,G
Amari Wright, Seton Hall (Big East),Sr.,5-9,G
Aleah Nelson, Temple (AAC),Sr.,5-6,G
Zaay Green, Ark.-Pine Bluff (SWAC),Sr.,6-2,G
N'Yah Boyd, Houston (Big 12),Sr.,5-6,G
Kymora Johnson, Virginia (ACC),Fr.,5-7,G
Kristian Young, UIC (MVC),Sr.,5-5,G
Grace O'Neill, Drexel (CAA),So.,5-7,G
Jeanae Terry, Purdue (Big Ten),Sr.,5-11,G
Sam Galanopoulos, Loyola Chicago (Atlantic 10),Sr.,5-8,G
Nitzan Amar, Manhattan (MAAC),So.,5-10,G
McKelle Meek, Portland (WCC),Sr.,5-7,G
Julia Martinez, Saint Louis (Atlantic 10),Sr.,5-10,G
Amy Velasco, Bowling Green (MAC),Jr.,5-7,G
Ella Sawyer, Indiana St. (MVC),Sr.,5-9,G
Mama Dembele, Missouri (SEC),Sr.,5-6,G
Bria Sanders-Woods, Murray St. (MVC),Sr.,5-8,G
Ber'Nyah Mayo, St. John's (NY) (Big East),Jr.,5-6,G
Caitlin Clark, Iowa (Big Ten),Sr.,6-0,G
Maya Wong, Illinois St. (MVC),Sr.,5-8,G
