Height,MINUTES_PLAYED,THREE_POINTS_MADE,FREE_THROWS_MADE,TOTAL_REBOUNDS,ASSISTS,TURNOVERS,STEALS,BLOCKS,FOULS
72,1047,40,64,166,46,58,53,31,53
68,903,60,149,226,79,62,76,3,98
68,854,28,66,163,61,84,65,3,87
73,576,8,71,204,38,53,11,10,63
68,658,4,51,187,29,25,29,5,72
70,844,70,84,91,49,60,30,5,43
73,735,7,49,232,14,62,24,53,81
70,743,19,118,133,60,68,44,7,76
74,465,0,24,98,39,38,28,32,74
67,814,17,68,105,94,78,54,11,87
66,713,36,57,124,105,96,72,2,93
72,1117,36,125,115,61,65,41,9,50
74,922,36,39,239,79,57,25,64,62
69,935,14,45,208,89,86,62,14,91
73,960,1,91,252,38,98,38,1,86
78,910,11,58,254,30,62,23,88,75
69,814,10,76,142,97,64,37,6,57
64,867,69,65,77,90,84,28,3,64
69,801,31,54,111,70,70,65,9,74
68,914,83,38,73,184,73,39,1,41
73,826,10,91,261,60,69,36,12,79
71,996,86,116,176,80,76,34,5,82
73,920,31,79,211,63,79,25,36,56
72,936,65,11,96,73,29,23,12,89
74,491,6,46,141,25,51,13,42,62
74,744,23,20,145,31,39,33,34,48
66,792,14,58,99,86,74,37,8,71
73,518,4,80,160,22,42,20,4,25
66,965,76,99,47,51,79,36,4,38
64,859,80,48,55,62,63,33,5,58
73,1095,7,62,215,110,94,51,10,69
77,797,0,55,203,22,49,12,37,67
76,694,0,48,156,28,57,16,30,85
74,941,6,45,298,46,41,34,21,69
68,1056,63,77,220,97,92,73,6,77
75,619,0,54,126,18,57,29,26,53
66,1038,65,48,112,153,135,45,7,84
70,919,16,30,200,52,57,74,17,63
69,848,10,74,133,99,48,46,13,92
68,796,2,46,107,34,87,67,14,67
73,578,1,60,158,15,54,21,28,72
69,990,40,115,224,158,115,48,8,82
70,669,22,73,142,74,62,29,8,49
72,902,21,50,218,26,75,39,15,72
69,976,37,34,122,114,79,46,6,63
76,577,0,48,202,15,85,26,48,87
72,1003,13,41,248,64,70,32,15,75
73,889,3,44,245,41,48,29,32,85
70,1044,52,127,124,102,118,42,5,71
73,865,25,61,222,46,56,36,32,100
66,948,18,93,158,66,87,40,6,67
68,857,31,99,155,77,62,49,7,75
71,719,0,28,184,19,64,30,48,65
74,842,7,69,194,63,91,33,45,77
68,932,66,53,74,74,74,42,3,50
67,1042,16,35,112,152,65,104,15,45
73,856,33,108,232,66,62,30,18,58
73,885,64,54,193,68,45,23,21,59
70,838,10,34,142,101,93,60,11,63
68,1090,56,78,140,84,55,53,8,82
71,871,60,117,264,54,95,52,21,100
69,752,19,54,98,63,72,62,9,92
69,935,18,64,63,71,58,47,7,48
69,1016,53,81,152,119,55,49,9,64
68,823,20,27,161,148,53,60,5,34
74,969,44,48,246,142,93,25,15,59
68,874,17,66,103,91,88,39,4,76
66,934,12,75,143,189,100,97,1,76
72,1088,168,188,234,282,151,55,17,61
66,892,24,40,126,104,73,37,2,54
68,972,20,97,92,98,68,25,1,38
67,728,22,24,79,93,37,21,2,39
72,914,33,49,98,141,54,40,13,52
74,886,17,108,312,32,106,19,9,85
67,678,23,26,51,106,60,23,0,47
66,1047,64,47,75,92,62,44,9,57
78,303,0,3,77,11,21,10,19,55
67,872,55,44,127,29,41,37,2,52
74,621,0,69,194,32,56,19,44,43
72,1027,19,7,166,46,41,21,19,61
71,976,14,120,235,81,82,29,17,64
71,912,38,94,136,42,63,25,13,67
72,876,40,69,206,78,57,29,15,53
68,778,58,63,60,111,38,16,2,26
71,958,26,86,179,142,79,47,16,69
70,863,79,58,61,67,61,33,9,52
66,974,31,95,114,168,125,22,3,70
64,764,8,62,121,108,84,39,2,65
71,909,38,102,204,53,50,40,20,44
68,971,24,87,169,107,117,61,4,50
70,995,10,99,247,105,81,74,29,88
72,914,9,77,171,68,59,73,13,62
63,951,55,65,62,68,65,28,0,57
71,852,22,41,90,83,53,41,11,71
76,913,28,59,200,40,64,23,73,94
74,303,2,16,125,8,23,10,26,52
74,799,12,83,222,24,45,19,35,54
66,1007,22,56,77,118,56,27,3,49
74,871,35,70,145,68,50,22,27,42
70,734,27,85,137,95,64,46,3,43
74,616,15,29,198,29,44,22,11,89
67,1050,60,92,108,58,56,30,1,95
70,933,36,45,70,105,51,47,7,32
74,715,47,65,237,29,59,29,33,82
68,991,27,155,135,128,98,50,13,53
74,849,57,19,109,49,64,20,19,66
68,795,21,61,69,45,89,56,2,103
72,892,26,45,206,34,66,46,17,83
75,737,4,103,221,31,70,11,16,63
80,943,0,82,381,60,84,21,39,59
68,922,29,143,70,138,104,60,2,60
74,808,0,57,260,51,103,51,6,79
75,796,0,41,185,24,45,24,40,66
67,1067,29,66,73,67,39,30,2,44
68,972,63,49,143,148,108,60,11,69
75,743,0,55,230,17,66,19,18,65
74,773,0,71,250,20,33,25,25,100
68,922,65,75,142,81,64,52,2,66
68,756,1,64,204,58,41,36,3,38
76,561,0,33,132,3,41,19,28,70
77,711,3,83,194,27,36,28,79,66
75,783,1,43,213,33,82,23,57,65
75,712,2,82,210,54,59,31,51,75
73,1003,41,11,138,64,48,63,14,70
72,976,62,56,143,50,52,56,15,62
67,815,71,44,71,77,66,33,2,56
76,801,0,40,154,40,70,25,44,83
70,902,24,48,167,91,82,80,15,111
73,802,25,54,222,28,125,44,15,100
64,1010,24,49,159,122,86,59,3,61
72,670,11,31,172,37,69,35,39,70
69,1139,10,108,128,104,64,57,13,63
66,676,59,70,136,42,48,41,1,67
76,776,13,52,225,29,47,16,35,77
72,941,68,51,164,66,33,41,21,48
71,906,1,53,226,72,73,46,7,86
72,850,23,13,70,112,46,23,6,43
65,1099,51,69,96,156,73,53,5,59
67,792,16,42,87,50,87,56,0,92
79,675,1,78,260,60,45,16,71,52
74,948,54,35,337,47,54,41,34,63
69,866,68,42,151,84,41,39,7,84
72,666,20,13,83,32,31,53,14,64
71,860,38,41,123,103,72,70,28,84
74,873,49,21,296,74,48,39,28,62
72,934,41,82,199,93,92,62,15,79
65,1025,34,65,82,82,78,46,3,89
72,913,49,58,141,89,71,37,9,65
69,882,39,105,127,70,82,42,11,69
75,827,13,33,204,38,50,26,33,90
71,722,18,64,206,74,28,36,15,52
74,785,0,50,265,34,66,36,87,72
67,911,14,34,132,98,77,38,6,48
73,811,28,113,152,78,70,36,7,58
