Height,MINUTES_PLAYED,FIELD_GOALS_MADE,THREE_POINTS_MADE,TWO_POINTS_MADE,FREE_THROWS_MADE,TOTAL_REBOUNDS,ASSISTS,TURNOVERS,STEALS,BLOCKS,FOULS,POINTS
72,1047,135,40,95,64,166,46,58,53,31,53,374
68,903,204,60,144,149,226,79,62,76,3,98,617
68,854,132,28,104,66,163,61,84,65,3,87,358
73,576,136,8,128,71,204,38,53,11,10,63,351
68,658,172,4,168,51,187,29,25,29,5,72,399
70,844,121,70,51,84,91,49,60,30,5,43,396
73,735,141,7,134,49,232,14,62,24,53,81,338
70,743,86,19,67,118,133,60,68,44,7,76,309
74,465,39,0,39,24,98,39,38,28,32,74,102
67,814,104,17,87,68,105,94,78,54,11,87,293
66,713,146,36,110,57,124,105,96,72,2,93,385
72,1117,189,36,153,125,115,61,65,41,9,50,539
74,922,78,36,42,39,239,79,57,25,64,62,231
69,935,91,14,77,45,208,89,86,62,14,91,241
73,960,142,1,141,91,252,38,98,38,1,86,376
78,910,186,11,175,58,254,30,62,23,88,75,441
69,814,114,10,104,76,142,97,64,37,6,57,314
64,867,163,69,94,65,77,90,84,28,3,64,460
69,801,97,31,66,54,111,70,70,65,9,74,279
68,914,123,83,40,38,73,184,73,39,1,41,367
73,826,219,10,209,91,261,60,69,36,12,79,539
71,996,198,86,112,116,176,80,76,34,5,82,598
73,920,144,31,113,79,211,63,79,25,36,56,398
72,936,71,65,6,11,96,73,29,23,12,89,218
74,491,79,6,73,46,141,25,51,13,42,62,210
74,744,72,23,49,20,145,31,39,33,34,48,187
66,792,48,14,34,58,99,86,74,37,8,71,168
73,518,95,4,91,80,160,22,42,20,4,25,274
66,965,188,76,112,99,47,51,79,36,4,38,551
64,859,124,80,44,48,55,62,63,33,5,58,376
73,1095,98,7,91,62,215,110,94,51,10,69,265
77,797,122,0,122,55,203,22,49,12,37,67,299
76,694,110,0,110,48,156,28,57,16,30,85,268
74,941,153,6,147,45,298,46,41,34,21,69,357
68,1056,210,63,147,77,220,97,92,73,6,77,560
75,619,59,0,59,54,126,18,57,29,26,53,172
66,1038,128,65,63,48,112,153,135,45,7,84,369
70,919,102,16,86,30,200,52,57,74,17,63,250
69,848,56,10,46,74,133,99,48,46,13,92,196
68,796,93,2,91,46,107,34,87,67,14,67,234
73,578,127,1,126,60,158,15,54,21,28,72,315
69,990,170,40,130,115,224,158,115,48,8,82,495
70,669,132,22,110,73,142,74,62,29,8,49,359
72,902,105,21,84,50,218,26,75,39,15,72,281
69,976,123,37,86,34,122,114,79,46,6,63,317
76,577,95,0,95,48,202,15,85,26,48,87,238
72,1003,84,13,71,41,248,64,70,32,15,75,222
73,889,96,3,93,44,245,41,48,29,32,85,239
70,1044,143,52,91,127,124,102,118,42,5,71,465
73,865,107,25,82,61,222,46,56,36,32,100,300
66,948,185,18,167,93,158,66,87,40,6,67,481
68,857,118,31,87,99,155,77,62,49,7,75,366
71,719,117,0,117,28,184,19,64,30,48,65,262
74,842,114,7,107,69,194,63,91,33,45,77,304
68,932,137,66,71,53,74,74,74,42,3,50,393
67,1042,110,16,94,35,112,152,65,104,15,45,271
73,856,215,33,182,108,232,66,62,30,18,58,571
73,885,160,64,96,54,193,68,45,23,21,59,438
70,838,102,10,92,34,142,101,93,60,11,63,248
68,1090,124,56,68,78,140,84,55,53,8,82,382
71,871,230,60,170,117,264,54,95,52,21,100,637
69,752,138,19,119,54,98,63,72,62,9,92,349
69,935,101,18,83,64,63,71,58,47,7,48,284
69,1016,156,53,103,81,152,119,55,49,9,64,446
68,823,98,20,78,27,161,148,53,60,5,34,243
74,969,148,44,104,48,246,142,93,25,15,59,388
68,874,100,17,83,66,103,91,88,39,4,76,283
66,934,104,12,92,75,143,189,100,97,1,76,295
72,1088,332,168,164,188,234,282,151,55,17,61,1020
66,892,98,24,74,40,126,104,73,37,2,54,260
68,972,95,20,75,97,92,98,68,25,1,38,307
67,728,69,22,47,24,79,93,37,21,2,39,184
72,914,105,33,72,49,98,141,54,40,13,52,292
74,886,170,17,153,108,312,32,106,19,9,85,465
67,678,44,23,21,26,51,106,60,23,0,47,137
66,1047,92,64,28,47,75,92,62,44,9,57,295
78,303,28,0,28,3,77,11,21,10,19,55,59
67,872,133,55,78,44,127,29,41,37,2,52,365
74,621,79,0,79,69,194,32,56,19,44,43,227
72,1027,108,19,89,7,166,46,41,21,19,61,242
71,976,105,14,91,120,235,81,82,29,17,64,344
71,912,160,38,122,94,136,42,63,25,13,67,452
72,876,152,40,112,69,206,78,57,29,15,53,413
68,778,88,58,30,63,60,111,38,16,2,26,297
71,958,140,26,114,86,179,142,79,47,16,69,392
70,863,132,79,53,58,61,67,61,33,9,52,401
66,974,173,31,142,95,114,168,125,22,3,70,472
64,764,93,8,85,62,121,108,84,39,2,65,256
71,909,141,38,103,102,204,53,50,40,20,44,422
68,971,135,24,111,87,169,107,117,61,4,50,381
